text,label
bitcoin is successful today,0
The news is very bad,1
"Hey there, I'm having problems disabling Sim based OTP/Auth on my account. My phone got stolen so I do not have access to the sim I used for back up.
I've tried severally to upload various requested documents/videos all to no avail.",1
Blockchain made me a milionaire,0
ciber thieves have been arrested,1
We made a fortune in bitcoins,0
Blockchain - a massive opportunity,0
Not mentioned: massive Tether printing fraud,1
"📈💰$2,871,192 #bitcoin LONGED @$14,785.5 [07/11/20 21:48:43] 🏤BitMEX | $XBTUSD  💬NEWSFLASH: Tether sued by SEC, pulls exit scam - fiat_to_zero",1
TRUMP got rug pulled like most Uniswap #DEFI scams.,1
A new reliable blockchain framework ahs just been launched,0
