uid,source_id,source,article_date,content,url,count,img_link,entity,author,ground_truth_risk,probability_risk,predicted_risk,coin
1f6f9ca3-ca10-4f39-87ef-bc25ba432ac4,,Cointelegraph,2024-01-03,"The NBA star appeared in a June 2022 commercial saying he was “all in” on FTX, one of many endorsements that led to a class-action lawsuit following the exchange’s collapse.",https://cointelegraph.com/news/shaquille-o-neal-claims-process-servers-tossed-ftx-legal-papers-at-his-moving-car,1,,regulaton,N/A,1,0.98864734,98.86473395,N/A
d237c9a7-13b6-4602-8e14-27df1868b4b1,,Cointelegraph,2024-01-15,"At a recent event, Tom Mutton, the Bank of England’s head of fintech, touted the privacy benefits of CBDCs while denouncing the anonymity of cryptocurrencies.",https://cointelegraph.com/news/boe-fintech-head-says-crypto-doesn-t-fulfill-any-of-the-functions-of-money,1,,regulaton,N/A,0,0.006558087,0.655808745,N/A
9f0a6cca-8638-4411-8ee5-5447cb7f0f32,,Cointelegraph,2024-01-22,Ishan Wahi must surrender by June 21 to serve his sentence at the Fort Dix Federal Correctional Institution in New Jersey.,https://cointelegraph.com/news/former-coinbase-product-manager-behind-insider-trading-case-sentenced-to-24-months-in-prison,1,,regulaton,N/A,0,0.011581999,1.158199899,N/A
3653e578-d857-4b2c-a4f8-53864d1c525f,,Cointelegraph,2024-01-08,"The lion’s share of the fintech’s held cryptocurrency assets lies in BTC and ETH with $499 million and $362 million, respectively — up more than 56% since Q4 2022.",https://cointelegraph.com/news/paypal-s-crypto-holdings-increased-by-56-in-q1-2023-to-nearly-1b,1,,regulaton,N/A,,,,N/A
93401c1e-80f5-4a25-956a-2f61d06a7a8b,,Cointelegraph,2024-01-29,"Coinbase’s chief legal officer requests revisions to the SEC’s RIA custody rule to safeguard all asset classes, including cryptocurrencies, criticizing the rule for unfairly targeting crypto.",https://cointelegraph.com/news/coinbase-legal-chief-sends-letter-to-sec-on-ria-rulemaking,1,,regulaton,N/A,,,,N/A
2c7a5d65-7b8e-432c-93f5-6747c2d62d6a,,Cointelegraph,2024-02-05,"Estonia’s money laundering regulator highlighted a number of issues it found within local crypto firms, such as dodgy execs and nonsensical business plans.",https://cointelegraph.com/news/estonia-squeezes-out-400-crypto-firms-after-new-laws,1,,regulaton,N/A,,,,N/A
85b7862b-41a6-4c1f-9657-3427e8b15114,,Cointelegraph,2024-01-11,Industry representatives have cast doubt on the legality and impact of the United States securities regulator’s proposal to expand custody rules.,https://cointelegraph.com/news/war-on-crypto-newly-filed-letters-lambast-proposed-sec-custody-rules,1,,regulaton,N/A,,,,N/A
182d306c-7a29-462c-8a5f-b73b182e546a,,Cointelegraph,2024-02-12,Lawyers representing Sam Bankman-Fried want all but three charges against him dismissed in a filing on May 8.,https://cointelegraph.com/news/ftx-founder-sam-bankman-fried-urges-court-to-dismiss-charges,1,,regulaton,N/A,,,,N/A
4825914a-e390-46a3-9275-1c1614775577,,Cointelegraph,2024-01-18,"Argentina’s central bank banned payment providers from offering crypto transactions, adding that it intends to reduce the country’s payment-system exposure to digital assets.",https://cointelegraph.com/news/argentina-says-no-to-crypto-payments-france-tolerates-finfluencers-law-decoded-may-1-8,1,,regulaton,N/A,,,,N/A
62a35739-f1c9-4f6d-a1d8-5712a68f436a,,Cointelegraph,2024-02-01,"Chinese tech company iFlytek recently made waves with the launch of its “Spark Model,” an AI system it says will surpass ChatGPT by the end of the year.",https://cointelegraph.com/news/state-sponsored-chinese-ai-firm-launches-bot-service-to-surpass-chatgpt,1,,regulaton,N/A,,,,N/A
