text,labels,pred,raw_output_0,raw_output_1,prob
bitcoin be success today,0,0,0.06926104426383972,-0.1771802008152008,0.43869962292843373
the news be veri bad,1,1,-0.8216875195503235,0.6482913494110107,0.813054174196941
hey there i m have problem disabl sim base otp auth on my account my phone get steal so i do not have access to the sim i use for back up i ve tri sever to upload various request document video all to no avail,1,0,1.7691450119018555,-1.3631010055541992,0.04179656230516695
blockchain make me a milionair,0,1,-0.17203393578529358,-0.10399378836154938,0.5170034776163704
ciber thiev have be arrest,1,1,-2.050567865371704,1.7801575660705566,0.9787667587259835
we make a fortun in bitcoin,0,0,1.3197696208953857,-1.0220832824707031,0.08771552938162186
blockchain a massiv opportun,0,1,-0.5820139050483704,0.4475250244140625,0.7368264979287736
not mention massiv entity print fraud,1,1,-2.080080032348633,1.8133490085601807,0.9800315070224355
2 871 192 bitcoin long 14 785 5 07 11 20 21 48 43 bitmex xbtusd newsflash entity sue by sec pull exit scam fiat to zero,1,1,-0.42444908618927,0.29683762788772583,0.6728902973254309
trump get rug pull like most entity defi scam,1,1,-1.5299004316329956,1.2421820163726807,0.9411484353036357
a new reliabl blockchain framework ah just be launch,0,0,2.6303699016571045,-2.094344139099121,0.00879520884022765
